run_id,system,agent_count,task_id,coord_tokens,work_tokens,cwr,steps_taken,success,commit_attempts,commit_conflicts,scr,retry_exhaustions,excluded,wall_ms,model
84af4436-e525-4535-a8d8-e1e50113cafe,sbus,4,lh_001,1531,6609,0.2317,20,1,25,0,0.0000,0,0,85012,gpt-4o-mini
5d076a73-7380-435e-9475-df1d65034493,coord_worker,4,lh_001,10358,3022,3.4275,20,0,0,0,0.0000,0,0,286146,gpt-4o-mini
d6d9d6f7-76b7-42da-8116-1599f4b89a35,sbus,4,lh_001,1633,6821,0.2394,20,1,25,0,0.0000,0,0,176928,gpt-4o-mini
45d7d6bb-8c04-44ad-9ef5-419e49e9a71a,coord_worker,4,lh_001,10365,3059,3.3884,20,0,0,0,0.0000,0,0,341621,gpt-4o-mini
1070aa94-a392-4028-91b8-ef14904c2850,sbus,4,lh_001,1653,6883,0.2402,20,0,25,0,0.0000,0,0,82538,gpt-4o-mini
fd96a6d3-3930-40a2-8057-afda55dcb125,coord_worker,4,lh_001,10095,3091,3.2659,20,0,0,0,0.0000,0,0,204401,gpt-4o-mini
e5e1e646-0fb0-4fe6-9c0a-632f9713fcac,sbus,4,lh_002,1111,4762,0.2333,20,0,20,0,0.0000,0,0,58574,gpt-4o-mini
ab041ef6-158c-4572-bbf4-86629715ce34,coord_worker,4,lh_002,10180,3169,3.2124,20,0,0,0,0.0000,0,0,195222,gpt-4o-mini
17f28e96-1801-467a-a3dd-38bffce80388,sbus,4,lh_002,1178,4886,0.2411,20,1,20,0,0.0000,0,0,54235,gpt-4o-mini
31aedf65-bd30-4579-9208-89851d2e4072,coord_worker,4,lh_002,9859,3215,3.0666,20,0,0,0,0.0000,0,0,185559,gpt-4o-mini
e4baf596-3a14-495f-9c4d-1e2d577850a1,sbus,4,lh_002,1205,4935,0.2442,20,1,20,0,0.0000,0,0,56522,gpt-4o-mini
261d8c97-a176-41f2-beaa-4b7703b88414,coord_worker,4,lh_002,9963,3204,3.1096,20,0,0,0,0.0000,0,0,193957,gpt-4o-mini
276d8bcf-8d24-4b55-b3e9-b7f34e1ca199,sbus,4,lh_003,1350,5455,0.2475,20,1,20,0,0.0000,0,0,65539,gpt-4o-mini
ec277487-24bf-4f40-a91d-809b2ab318c2,coord_worker,4,lh_003,10496,2955,3.5519,20,0,0,0,0.0000,0,0,201326,gpt-4o-mini
7ed1bbd3-d237-4d59-af5e-33916ef58c51,sbus,4,lh_003,1339,5439,0.2462,20,1,20,0,0.0000,0,0,63442,gpt-4o-mini
a778c401-3227-462c-93b1-4bd14296b479,coord_worker,4,lh_003,10641,2965,3.5889,20,0,0,0,0.0000,0,0,191751,gpt-4o-mini
52a21e15-ebbb-4d11-8d7a-3811349dce79,sbus,4,lh_003,1254,5261,0.2384,20,1,20,0,0.0000,0,0,60322,gpt-4o-mini
0b8adee9-767e-4fbe-9666-c85880a63bc1,coord_worker,4,lh_003,10785,3016,3.5759,20,0,0,0,0.0000,0,0,197737,gpt-4o-mini
