run_id,system,agent_count,task_id,coord_tokens,work_tokens,cwr,steps_taken,success,commit_attempts,commit_conflicts,scr,retry_exhaustions,excluded,wall_ms,model
4f46f721-6a94-4688-bcc5-fe5ff1a9b7b8,sbus,4,lh_001,1640,6860,0.2391,20,0,25,0,0.0000,0,0,78937,gpt-4o-mini
16f0b042-af8a-4e71-aad6-cba663f34cbf,coord_worker,4,lh_001,10664,3067,3.4770,20,0,0,0,0.0000,0,0,307984,gpt-4o-mini
c87b052c-6cdc-49e4-9214-31efdf244202,sbus,4,lh_001,1520,6598,0.2304,20,1,25,0,0.0000,0,0,56357,gpt-4o-mini
1194f139-dbf1-48b0-bf24-d758ae5a7982,coord_worker,4,lh_001,10689,3104,3.4436,20,0,0,0,0.0000,0,0,138087,gpt-4o-mini
7625d26f-1d0d-4afc-94b8-b69292d2d5e1,sbus,4,lh_001,1642,6850,0.2397,20,1,25,0,0.0000,0,0,50856,gpt-4o-mini
c4bd764a-50c5-45c0-bbb7-212499a01439,coord_worker,4,lh_001,10585,3104,3.4101,20,0,0,0,0.0000,0,0,137177,gpt-4o-mini
ab57c55e-d6c4-4520-b744-ec7ae785dde2,sbus,4,lh_002,1187,4899,0.2423,20,1,20,0,0.0000,0,0,44988,gpt-4o-mini
1390af13-92e0-4785-94c7-ad821965ee17,coord_worker,4,lh_002,10101,3193,3.1635,20,0,0,0,0.0000,0,0,138755,gpt-4o-mini
6ea7046f-0684-4797-8b12-f32defafa03a,sbus,4,lh_002,1185,4907,0.2415,20,0,20,0,0.0000,0,0,40148,gpt-4o-mini
0a116854-c636-40ec-93fc-bc0d8ebe5412,coord_worker,4,lh_002,10507,3150,3.3356,20,0,0,0,0.0000,0,0,191903,gpt-4o-mini
309f276f-a58e-4f97-9b92-b0c78088d3ce,sbus,4,lh_002,1103,4739,0.2327,20,1,20,0,0.0000,0,0,111197,gpt-4o-mini
5c96ca3b-fae9-48cf-844a-76ba02c32e16,coord_worker,4,lh_002,10540,3272,3.2213,20,0,0,0,0.0000,0,0,264194,gpt-4o-mini
38b72bf1-f00a-43cd-a094-f4ac876e0f28,sbus,4,lh_003,1306,5351,0.2441,20,1,20,0,0.0000,0,0,47949,gpt-4o-mini
e4d374d0-a1b4-49dc-80b4-6fb9c27ac0b0,coord_worker,4,lh_003,10442,2938,3.5541,20,0,0,0,0.0000,0,0,307311,gpt-4o-mini
a96f39c9-ef56-4ff8-906e-9a115d61a19c,sbus,4,lh_003,1352,5482,0.2466,20,1,20,0,0.0000,0,0,49429,gpt-4o-mini
6ecdcf78-b2d0-44d5-9c68-b34fe35c8371,coord_worker,4,lh_003,11037,2957,3.7325,20,0,0,0,0.0000,0,0,203056,gpt-4o-mini
a85542a9-8761-4afd-90fc-afb13ae863ee,sbus,4,lh_003,1339,5423,0.2469,20,1,20,0,0.0000,0,0,50791,gpt-4o-mini
70227260-d502-4244-9c37-a2cdd2a7d0ab,coord_worker,4,lh_003,10794,2943,3.6677,20,0,0,0,0.0000,0,0,166299,gpt-4o-mini
