run_id,system,agent_count,task_id,coord_tokens,work_tokens,cwr,steps_taken,success,commit_attempts,commit_conflicts,scr,retry_exhaustions,excluded,wall_ms,model,sdk_version
7602c7d6-9fec-40fa-ab7b-571619ec1f1c,autogen,4,lh_001,358101,13809,25.9324,50,1,0,0,0.0000,0,0,356790,gpt-4o-mini,autogen-0.7.5
f7ad6f6c-5596-485b-9ecd-0b07fa624634,autogen,8,lh_001,226982,7503,30.2522,50,0,0,0,0.0000,0,0,223101,gpt-4o-mini,autogen-0.7.5
4d132c7e-9807-4cca-b775-5360a3b63bdb,autogen,4,lh_002,336326,12485,26.9384,50,1,0,0,0.0000,0,0,353159,gpt-4o-mini,autogen-0.7.5
4e3ffd53-87c6-4b2c-859a-df32e7bc1208,autogen,8,lh_002,307193,8851,34.7072,50,0,0,0,0.0000,0,0,239525,gpt-4o-mini,autogen-0.7.5
84ba514b-afba-4959-896b-e48ea2e11a2d,autogen,4,lh_003,242555,8843,27.4290,50,0,0,0,0.0000,0,0,243464,gpt-4o-mini,autogen-0.7.5
d4413a7a-c209-44c4-b20e-9b683696e3cf,autogen,8,lh_003,349099,12362,28.2397,50,1,0,0,0.0000,0,0,496278,gpt-4o-mini,autogen-0.7.5
0e78bfbe-8731-44cb-9296-abef55eb31d9,autogen,4,lh_004,418867,16115,25.9924,50,1,0,0,0.0000,0,0,443451,gpt-4o-mini,autogen-0.7.5
36fbc62d-56f5-46ba-9a63-27667a8ee759,autogen,8,lh_004,515617,18744,27.5084,50,1,0,0,0.0000,0,0,594842,gpt-4o-mini,autogen-0.7.5
f43bf5e7-6381-4311-9f52-a065219c8610,autogen,4,lh_005,117195,3854,30.4087,50,0,0,0,0.0000,0,0,143175,gpt-4o-mini,autogen-0.7.5
0016b16c-baec-4a81-a558-0ee6e45a244e,autogen,8,lh_005,291160,10303,28.2597,50,1,0,0,0.0000,0,0,301401,gpt-4o-mini,autogen-0.7.5
