run_id,system,agent_count,task_id,coord_tokens,work_tokens,cwr,steps_taken,success,commit_attempts,commit_conflicts,scr,retry_exhaustions,excluded,wall_ms,model,sdk_version
62184f00-a03f-432b-b54b-af15c337d56f,langgraph,4,lh_001,17675,2978,5.9352,50,1,0,0,0.0000,0,0,135116,gpt-4o-mini,langgraph-1.1.3
43d79ad2-910d-41cc-bbfd-eb05ab780deb,langgraph,8,lh_001,11264,1933,5.8272,50,1,0,0,0.0000,0,0,83642,gpt-4o-mini,langgraph-1.1.3
8c675a4b-fc2e-4d21-ab3e-8db23964bd38,langgraph,4,lh_002,17715,3321,5.3342,50,0,0,0,0.0000,0,0,158441,gpt-4o-mini,langgraph-1.1.3
337b12e8-473e-4536-a3c1-fd85c407715f,langgraph,8,lh_002,8556,1584,5.4015,50,0,0,0,0.0000,0,0,73532,gpt-4o-mini,langgraph-1.1.3
b6a29e30-396a-4bca-8248-1f3a0f6f45e7,langgraph,4,lh_003,19418,3353,5.7912,50,1,0,0,0.0000,0,0,156140,gpt-4o-mini,langgraph-1.1.3
80ca18a6-1444-40a2-8afe-d5511f39627a,langgraph,8,lh_003,9741,1698,5.7367,50,0,0,0,0.0000,0,0,72544,gpt-4o-mini,langgraph-1.1.3
f0681dbf-b7e9-482f-9ff3-a305a179176f,langgraph,4,lh_004,18227,3355,5.4328,50,0,0,0,0.0000,0,0,144420,gpt-4o-mini,langgraph-1.1.3
3ea57ed9-e0dd-42d1-bdf1-3bfed87a0c87,langgraph,8,lh_004,11668,2181,5.3498,50,1,0,0,0.0000,0,0,93450,gpt-4o-mini,langgraph-1.1.3
5c125cf2-100e-4c89-9e8b-2dbde41dba64,langgraph,4,lh_005,17321,3059,5.6623,50,0,0,0,0.0000,0,0,140177,gpt-4o-mini,langgraph-1.1.3
26059d65-5441-42b6-a969-1a06170fb2c1,langgraph,8,lh_005,10840,1931,5.6137,50,0,0,0,0.0000,0,0,90560,gpt-4o-mini,langgraph-1.1.3
